AirCode,AirName,City,State,fare14,fuel14,fare15,fuel15,fare16,fuel16,fare17,fuel17,fare18,fuel18,fare19,fuel19,fare20,fuel20,fare21,fuel21
GGG,East Texas Regional,Longview,TX,584.67,2.788083333,591.63,1.626916667,728.13,1.315333333,187.61,1.633583333,558.57,2.115166667,481.55,1.969416667,702.36,1.217833333,903.92,1.925
ABR,Aberdeen Regional,Aberdeen,SD,537.74,2.788083333,813.5,1.626916667,557.94,1.315333333,680.28,1.633583333,268.97,2.115166667,545.89,1.969416667,436.23,1.217833333,436.81,1.925
GUC,Gunnison-Crested Butte Regional,Gunnison,CO,796.48,2.788083333,709.74,1.626916667,802.34,1.315333333,535.83,1.633583333,678.6,2.115166667,567.59,1.969416667,433.43,1.217833333,474.56,1.925
BQK,Brunswick Golden Isles,Brunswick,GA,658.55,2.788083333,687.94,1.626916667,666.41,1.315333333,729.03,1.633583333,564.88,2.115166667,256.94,1.969416667,248.99,1.217833333,197.53,1.925
CIU,Chippewa County International,Sault Ste. Marie,MI,716.36,2.788083333,715.15,1.626916667,644.18,1.315333333,729.84,1.633583333,714.61,2.115166667,662.25,1.969416667,551.47,1.217833333,574.93,1.925
ART,Watertown International,Watertown,NY,675.65,2.788083333,673.99,1.626916667,729.8,1.315333333,666.82,1.633583333,711.13,2.115166667,589.68,1.969416667,458.95,1.217833333,503.45,1.925
DLG,Dillingham Airport,Dillingham,AK,863.42,2.788083333,862.64,1.626916667,602.25,1.315333333,741.67,1.633583333,635.23,2.115166667,686.45,1.969416667,552.76,1.217833333,594.29,1.925
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,860.93,2.788083333,892.6,1.626916667,807.4,1.315333333,593.5,1.633583333,703.69,2.115166667,644.81,1.969416667,498.97,1.217833333,598.51,1.925
GCC,Northeast Wyoming Regional,Gillette,WY,639.29,2.788083333,755.18,1.626916667,918.81,1.315333333,754.05,1.633583333,560.15,2.115166667,620.15,1.969416667,533.27,1.217833333,529.56,1.925
BRD,Brainerd Lakes Regional,Brainerd,MN,536.75,2.788083333,756.45,1.626916667,715.08,1.315333333,877.51,1.633583333,737.78,2.115166667,680.18,1.969416667,549.43,1.217833333,574.6,1.925
SHR,Sheridan County,Sheridan,WY,779.45,2.788083333,1068.52,1.626916667,741.78,1.315333333,700.94,1.633583333,786.83,2.115166667,543.45,1.969416667,405.88,1.217833333,441.88,1.925
